2hKdd3qO7cWr2Jo0Bcs0MA,1BfRdnfPYrni7zj4ANodBX,Drops of Jupiter (Tell Me),Don't Let Me Get Me - Radio Edit,0.06
2hKdd3qO7cWr2Jo0Bcs0MA,7clUVcSOtkNWa58Gw5RfD4,Drops of Jupiter (Tell Me),Speed of Sound,0.15
2hKdd3qO7cWr2Jo0Bcs0MA,6rjnRocdCULjLF61x2NR5e,Drops of Jupiter (Tell Me),Don't Stop Believin' (Glee Cast Version) - Cover of Journey,0.06
2hKdd3qO7cWr2Jo0Bcs0MA,2vzMWO0T008m86yDnXwkII,Drops of Jupiter (Tell Me),Blame It on Me,0.1
15f8Cv8RXUlOOCIf2oaceN,0SlpFHdk4UHBDzCEoXzy14,Underneath Your Clothes,Stop Crying Your Heart Out,0.14
15f8Cv8RXUlOOCIf2oaceN,6fzcnVO0X2cpYjsHk19GJo,Underneath Your Clothes,Sometimes You Can't Make It On Your Own,0.08
75JFxkI2RXiU7L9VXzMkle,6HxweNytuEQdmGeVtZPZz3,The Scientist,The Seed (2.0),0.19
75JFxkI2RXiU7L9VXzMkle,6PCUP3dWmTjcTtXY02oFdT,The Scientist,Castle on the Hill,0.21
75JFxkI2RXiU7L9VXzMkle,5enxwA8aAbwZbf5qCHORXi,The Scientist,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),0.06
75JFxkI2RXiU7L9VXzMkle,2z4U9d5OAA4YLNXoCgioxo,The Scientist,What the Hell,0.29
0SlpFHdk4UHBDzCEoXzy14,6fzcnVO0X2cpYjsHk19GJo,Stop Crying Your Heart Out,Sometimes You Can't Make It On Your Own,0.03
0SlpFHdk4UHBDzCEoXzy14,48s0QHJgmiNsth3WEO6U4M,Stop Crying Your Heart Out,Stop And Stare,0.15
0SlpFHdk4UHBDzCEoXzy14,6rjnRocdCULjLF61x2NR5e,Stop Crying Your Heart Out,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,0.08
1BfRdnfPYrni7zj4ANodBX,6rjnRocdCULjLF61x2NR5e,Don't Let Me Get Me - Radio Edit,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,0.14
1BfRdnfPYrni7zj4ANodBX,2vzMWO0T008m86yDnXwkII,Don't Let Me Get Me - Radio Edit,Blame It on Me,0.06
6HxweNytuEQdmGeVtZPZz3,6PCUP3dWmTjcTtXY02oFdT,The Seed (2.0),Castle on the Hill,0.17
6HxweNytuEQdmGeVtZPZz3,5enxwA8aAbwZbf5qCHORXi,The Seed (2.0),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),0.06
6HxweNytuEQdmGeVtZPZz3,2z4U9d5OAA4YLNXoCgioxo,The Seed (2.0),What the Hell,0.18
7LVHVU3tWfcxj5aiPFEW4Q,6fzcnVO0X2cpYjsHk19GJo,Fix You,Sometimes You Can't Make It On Your Own,0.15
7LVHVU3tWfcxj5aiPFEW4Q,383B8ksM58jbV3HbiRJo0K,Fix You,Say Hey (I Love You) (feat. Cherine Tanya Anderson),0.12
7clUVcSOtkNWa58Gw5RfD4,6rjnRocdCULjLF61x2NR5e,Speed of Sound,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,0.07
6fzcnVO0X2cpYjsHk19GJo,2vzMWO0T008m86yDnXwkII,Sometimes You Can't Make It On Your Own,Blame It on Me,0.26
6fzcnVO0X2cpYjsHk19GJo,6PCUP3dWmTjcTtXY02oFdT,Sometimes You Can't Make It On Your Own,Castle on the Hill,0.12
6fzcnVO0X2cpYjsHk19GJo,383B8ksM58jbV3HbiRJo0K,Sometimes You Can't Make It On Your Own,Say Hey (I Love You) (feat. Cherine Tanya Anderson),0.11
48s0QHJgmiNsth3WEO6U4M,6rjnRocdCULjLF61x2NR5e,Stop And Stare,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,0.07
6rjnRocdCULjLF61x2NR5e,5enxwA8aAbwZbf5qCHORXi,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),0.07
2vzMWO0T008m86yDnXwkII,6PCUP3dWmTjcTtXY02oFdT,Blame It on Me,Castle on the Hill,0.14
6PCUP3dWmTjcTtXY02oFdT,5enxwA8aAbwZbf5qCHORXi,Castle on the Hill,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),0.06
6PCUP3dWmTjcTtXY02oFdT,2z4U9d5OAA4YLNXoCgioxo,Castle on the Hill,What the Hell,0.19
5enxwA8aAbwZbf5qCHORXi,2z4U9d5OAA4YLNXoCgioxo,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),What the Hell,0.08
6PERP62TejQjgHu81OHxgM,4ZtFanR9U6ndgddUvNcjcG,good 4 u,good 4 u,1.0
